name,popularity,genre
System of a Down,"13,090",alternative
Korn,"3,014",alternative
Deftones,"2,798",alternative
Oasis,"1,227",alternative
Gigi Perez,602,alternative
Nine Inch Nails,550,alternative
Hozier,521,alternative
Nick Cave & The Bad Seeds,510,alternative
Three Days Grace,496,alternative
The Used,434,alternative
Pixies,406,alternative
Death Cab for Cutie,403,alternative
Bright Eyes,399,alternative
Cage the Elephant,397,alternative
Foster the People,376,alternative
Palace,368,alternative
Ani DiFranco,349,alternative
The Weeknd,336,alternative
Snow Patrol,305,alternative
Puscifer,300,alternative
Paris Paloma,283,alternative
Hollywood Undead,270,alternative
Devo,266,alternative
Dropkick Murphys,266,alternative
Papa Roach,263,alternative
Beck,260,alternative
Creed,259,alternative
OK Go,257,alternative
Goo Goo Dolls,246,alternative
Saint Motel,245,alternative
Ichiko Aoba,237,alternative
Teddy Swims,751,blues
Hozier,521,blues
Palace,368,blues
The Black Keys,263,blues
Joe Bonamassa,228,blues
Larkin Poe,177,blues
Alabama Shakes,170,blues
Tom Jones,115,blues
Tedeschi Trucks Band,102,blues
Buddy Guy,94,blues
Bonnie Raitt,92,blues
MARO,71,blues
Goose (USA),66,blues
Vieux Farka Touré,63,blues
Kenny Wayne Shepherd,60,blues
Little Feat,60,blues
Wax Tailor,52,blues
Kat Edmonson,49,blues
Dorothy,49,blues
"Christone ""KINGFISH"" Ingram",44,blues
Los Lobos,43,blues
George Thorogood & The Destroyers,43,blues
Ally Venable Band,39,blues
Eric Johnson,38,blues
The Record Company,37,blues
The Blue Stones,35,blues
Spin Doctors,34,blues
Benjamin Booker,34,blues
Elevation Worship,162,Christian Gospel
TobyMac,157,Christian Gospel
MercyMe,119,Christian Gospel
Josiah Queen,85,Christian Gospel
Jeremy Camp,85,Christian Gospel
Cain,75,Christian Gospel
Zach Williams,55,Christian Gospel
TAYA,40,Christian Gospel
Avery*Sunshine,25,Christian Gospel
Kairo Worship,24,Christian Gospel
Mavis Staples,23,Christian Gospel
Ernie Haase and Signature Sound,22,Christian Gospel
We Are Messengers,19,Christian Gospel
Morgan Guerin,16,Christian Gospel
Dave Pettigrew,12,Christian Gospel
Seph Schlueter,11,Christian Gospel
Stephen Stanley,9,Christian Gospel
Alex Harris,9,Christian Gospel
Bren Joy,8,Christian Gospel
Redimi2,8,Christian Gospel
CalledOut Music,7,Christian Gospel
Yolanda Adams,7,Christian Gospel
Rufus Wainwright,200,Classical
Yo-Yo Ma,168,Classical
HAUSER,158,Classical
LANG LANG,139,Classical
Boston Symphony Orchestra,125,Classical
Ludovico Einaudi,88,Classical
Yunchan Lim,77,Classical
Anoushka Shankar,60,Classical
London Symphony Orchestra,41,Classical
Daniil Trifonov,33,Classical
Itzhak Perlman,31,Classical
Vitamin String Quartet,31,Classical
Shulem,29,Classical
Kronos Quartet,24,Classical
Evgeny Kissin,23,Classical
Chris Botti,20,Classical
Gustavo Dudamel,20,Classical
Anne-Sophie Mutter,20,Classical
Black Violin,19,Classical
New York Philharmonic,19,Classical
Christian Death,18,Classical
Morgan Guerin,16,Classical
Brooklyn Rider,15,Classical
Molly Lewis (Whistler),14,Classical
Hillary Hahn,14,Classical
Jake shane,731,Comedy
Nikki Glaser,229,Comedy
Caleb Hearon,226,Comedy
Taylor Tomlinson,158,Comedy
Heather McMahan,115,Comedy
Tom Segura,112,Comedy
Matt Rife,109,Comedy
